Gene_name	medUPratio	meanrpkm	rpkm_bin
ANKRD16	0.0177	0.231398890952063	Q2
ANKRD17	0.01111	0.601875799438571	Q2
ANKRD23	0.01802	0.310478870386514	Q2
ANKRD26	0.03365	0.210812606527654	Q1 - lowly expressed
ANKRD27	0.00775	1.00390047860225	Q3
ANKRD28	0.00633	0.365084895327822	Q2
ANKRD29	0.16	0.0220120696073319	Q1 - lowly expressed
ANKRD33B	0.08511	0.0473253432736251	Q1 - lowly expressed
ANKRD36	0.0443	0.13145009698948	Q1 - lowly expressed
ANKRD36B	0.01807	0.139007213981014	Q1 - lowly expressed
ANKRD36C	0.04678	0.0890249726390892	Q1 - lowly expressed
ANKRD37	0.01883	20.2447959857879	Q5 - highly expressed
ANKRD44	0.00394	0.191605058671462	Q1 - lowly expressed
ANKRD49	0.01724	0.78923723760594	Q3
ANKRD52	0.00258	2.82827200814911	Q4
ANKZF1	0.00586	13.7047342005439	Q5 - highly expressed
ANLN	0.00105	0.656168099231761	Q3
ANO10	0.00459	0.0463651399745082	Q1 - lowly expressed
ANO6	0.00191	0.188286684218844	Q1 - lowly expressed
ANO9	0.03257	1.13863549221296	Q3
ANP32A	0.00429	7.71593439240715	Q5 - highly expressed
ANP32B	0.00211	18.2019270643116	Q5 - highly expressed
ANXA11	0.00189	7.59871160978885	Q5 - highly expressed
ANXA4	0.0042	0.871001801342839	Q3
ANXA5	0.00129	14.0180382144513	Q5 - highly expressed
ANXA6	0.00039	47.7286874291231	Q5 - highly expressed
ANXA7	0.00168	6.80344677331699	Q5 - highly expressed
AP1AR	0.01136	0.518654597122879	Q2
AP1B1	0.00088	3.19073797517576	Q4
AP1G1	0.00043	1.05955729031731	Q3
AP1G2	0.03002	13.7796522120182	Q5 - highly expressed
AP1S3	0.01695	0.0399478777674225	Q1 - lowly expressed
AP2A2	0.00235	0.821729812261929	Q3
AP2B1	0.00133	1.36815991574969	Q3
AP2M1	0.00053	28.9811181703357	Q5 - highly expressed
AP3D1	0.0016	4.2063480930234	Q4
AP3M1	0.00434	1.91022238885895	Q4
AP3M2	0.00311	1.05209349316734	Q3
AP3S1	0.01155	2.38331357258751	Q4
AP3S2	0.03623	0.254558842296573	Q2
AP4B1	0.02585	2.75980533936594	Q4
AP5M1	0.00962	0.894712091140808	Q3
AP5Z1	0.00667	1.3918903199596	Q3
APAF1	0.00403	0.494797845405986	Q2
APBB1IP	0.0032	1.36178336766988	Q3
APBB3	0.025	1.83774871566489	Q4
APEH	0.00116	32.1403779636291	Q5 - highly expressed
APH1A	0.00295	26.3164952660338	Q5 - highly expressed
APIP	0.01202	0.553747153413665	Q2
APLF	0.05	0.0105370315745795	Q1 - lowly expressed
APMAP	0.00639	1.10931905973798	Q3
APOBEC3C	0.00968	8.52000021477187	Q5 - highly expressed
APOBEC3F	0.01429	0.536942433951633	Q2
APOBEC3G	0.01139	11.657500084336	Q5 - highly expressed
APOL1	0.01202	4.28671745333845	Q4
APOLD1	0.00377	1.27859175126299	Q3
APOM	0.02326	0.697190932995949	Q3
APP	0.00062	0.443083554089341	Q2
APPL1	0.00114	1.76901707897449	Q4
APPL2	0.00481	0.249674344419679	Q2
APTX	0.01036	0.307070020639965	Q2
ARAP1	0.00366	2.45384682930412	Q4
ARAP2	0.01852	0.118086580204874	Q1 - lowly expressed
ARCN1	0.00213	3.26389290060776	Q4
AREL1	0.00771	0.669664638370696	Q3
ARF4	0.00214	4.5497668954865	Q5 - highly expressed
ARFGAP1	0.00925	2.63305132409477	Q4
ARFGAP2	0.00104	8.48530006650103	Q5 - highly expressed
ARFGAP3	5e-04	1.30646776527159	Q3
ARFGEF1	0.00359	0.477855516927554	Q2
ARFGEF2	0.00351	0.747090300306692	Q3
ARFIP1	0.01538	0.0759439571167188	Q1 - lowly expressed
ARFIP2	0.00167	5.81100158311859	Q5 - highly expressed
ARGLU1	0.03709	2.04427310626424	Q4
ARHGAP10	0.00228	0.223523432166986	Q2
ARHGAP11A-SCG5	0.00655	0.445456637971336	Q2
ARHGAP11B	0.03521	0.553318387945927	Q2
ARHGAP15	0.00292	0.188853911846974	Q1 - lowly expressed
ARHGAP17	0.00121	2.07838019125589	Q4
ARHGAP18	0.003	0.41515082326302	Q2
ARHGAP19	0.00602	0.325860538292515	Q2
ARHGAP24	0.01053	0.00591791774346312	Q1 - lowly expressed
ARHGAP26	0.08214	0.0500347575155242	Q1 - lowly expressed
ARHGAP27	0.01131	0.630213850637363	Q3
ARHGAP30	0.0261	5.58863733359077	Q5 - highly expressed
ARHGAP31	0.00615	0.166684422838522	Q1 - lowly expressed
ARHGAP33	0.05229	0.429180491775986	Q2
ARHGAP45	0.0022	7.65043535761392	Q5 - highly expressed
ARHGAP9	0.00353	5.44043383011624	Q5 - highly expressed
ARHGDIB	0.00402	27.8020835416116	Q5 - highly expressed
ARHGEF1	0.00253	6.07147001951476	Q5 - highly expressed
ARHGEF12	0.00239	0.320550573994136	Q2
ARHGEF17	0.00403	0.170267790410543	Q1 - lowly expressed
ARHGEF18	0.00183	0.358392270112658	Q2
ARHGEF2	0.00374	2.15991329068607	Q4
ARHGEF25	0.0137	1.31833146020496	Q3
ARHGEF39	0.06044	0.947815844177672	Q3
ARHGEF7	0.00662	0.590712429509603	Q2
ARID1A	0.00199	0.777876713818803	Q3
ARID1B	0.00134	0.116086933829297	Q1 - lowly expressed
ARID3A	0.0198	0.600665386738323	Q2
ARID3B	0.00398	0.559215161140086	Q2
ARID4A	0.00748	0.305570966907671	Q2
ARID4B	0.0136	0.638453723215399	Q3
ARID5A	0.05933	3.55139852062122	Q4
ARIH1	0.00533	0.440449144828513	Q2
ARIH2	0.02058	1.2258850789858	Q3
ARL1	0.00202	3.91760300128007	Q4
ARL11	0.07692	0.212970372125555	Q1 - lowly expressed
ARL13B	0.01639	0.0765417321110534	Q1 - lowly expressed
ARL14EP	0.01487	1.07652572652835	Q3
ARL17B	0.01205	0.0824913884611872	Q1 - lowly expressed
ARL2BP	0.00503	2.13862038932348	Q4
ARL3	0.00278	1.27298456740398	Q3
